index,mtx,m,n,nnz,mp16,mp4,mpnz
43,0080_can_24.mtx,24,24,160,8,216,1144
44,0987_blckhole.mtx,2132,2132,14872,6136,33793,105678
45,2251_cont-300.mtx,180895,180895,988195,419477,1888248,5463029
46,0454_Trefethen_200b.mtx,199,199,2873,593,5556,41783
47,2545_t3dh.mtx,79171,79171,4352105,11195153,73446119,255940359
48,1524_c-31.mtx,5339,5339,78571,60254,383377,5938091
49,1718_bcsstk18.mtx,11948,11948,149090,104143,779243,2554954
50,1373_ex24.mtx,2283,2283,48737,8395,99565,1202437
51,2192_delaunay_n17.mtx,131072,131072,786352,814174,3241571,4954586
52,1080_bcsstk34.mtx,588,588,21418,2893,47049,831096
53,2035_nemeth12.mtx,9506,9506,446818,23541,773817,21402666
54,0773_G34.mtx,2000,2000,8000,3675,12500,32000
55,1829_s2rmt3m1.mtx,5489,5489,219521,17994,340291,8926841
56,2326_va2010.mtx,285762,285762,1402128,15330028,20750658,10106926
57,1429_ex10hs.mtx,2548,2548,57308,13294,218803,1614318
58,0552_fs_541_2.mtx,541,541,4285,3207,10809,31399
59,0133_west0156.mtx,156,156,371,203,876,878
60,1991_delaunay_n16.mtx,65536,65536,393150,408275,1572837,2478510
61,1999_nemeth09.mtx,9506,9506,395506,21555,697023,16885570
62,0290_oscil_dcop_25.mtx,430,430,1544,1383,4785,6450
63,0414_lund_a.mtx,147,147,2449,176,2577,43641
64,0349_dwt_221.mtx,221,221,1629,564,4150,12577
65,0116_west0067.mtx,67,67,294,65,589,1283
66,2360_dblp-2010.mtx,326186,326186,1615400,4129051,9043880,27188862
67,1580_rdist1.mtx,4134,4134,94408,12140,123063,2157961
68,0376_mesh3e1.mtx,289,289,1889,597,3815,12585
69,1251_dynamicSoaringProblem_6.mtx,3431,3431,36741,21349,180097,2816961
70,0874_adder_dcop_17.mtx,1813,1813,11246,64442,208557,1848518
71,2140_c-70.mtx,68924,68924,658986,2010390,6344523,41647262
72,2394_cfd1.mtx,70656,70656,1828364,1863240,12498806,47936644
73,1509_cegb3306.mtx,3306,3306,74916,8723,75415,2119608
74,2530_barrier2-10.mtx,115625,115625,3897557,48925751,114133179,225039317
75,1926_cegb2919.mtx,2919,2919,321543,74843,1408106,40461201
76,1423_mark3jac020sc.mtx,9129,9129,56175,156294,465738,381442
77,1598_fe_sphere.mtx,16386,16386,98304,114892,277850,589776
78,0645_fpga_dcop_08.mtx,1220,1220,5888,4802,22627,46744
79,0972_steam2.mtx,600,600,13760,1280,5024,321536
80,1054_G46.mtx,1000,1000,19980,236609,1214108,417282
81,1915_lhr14.mtx,14270,14270,307858,52821,737385,6890517
82,2519_s3dkt3m2.mtx,90449,90449,3753461,357904,5294045,156412181
83,1521_aug2d.mtx,29008,29008,76832,23804,118810,230104
84,0656_fpga_dcop_49.mtx,1220,1220,5892,4802,22651,46772
85,2695_af_2_k101.mtx,503625,503625,17550675,1676359,22524981,612413375
86,1552_kineticBatchReactor_7.mtx,7968,7968,84508,159021,1228709,22256782
87,2546_t3dh_e.mtx,79171,79171,4352105,11195153,73446119,255940359
88,0686_fpga_dcop_21.mtx,1220,1220,5892,4802,22651,46772
89,2705_af_shell5.mtx,504855,504855,17588875,1668176,22688918,613607875
90,0063_bcsstm04.mtx,132,132,132,9,33,132
91,2513_ifiss_mat.mtx,96307,96307,3599932,2997739,15007275,151576830
92,0538_celegans_metabolic.mtx,453,453,4065,12877,66121,163463
93,2797_Serena.mtx,1391349,1391349,64531701,46822160,314006698,3111966351
94,1815_lowThrust_7.mtx,17378,17378,211561,354964,3641352,93895061
95,1640_mark3jac040.mtx,18289,18289,113435,322469,950067,775562
96,0740_cavity02.mtx,317,317,7327,1374,18344,225447
97,0811_G19.mtx,800,800,9322,74410,362928,226024
98,0679_fpga_dcop_16.mtx,1220,1220,5892,4802,22651,46772
99,0184_GD01_a.mtx,311,311,645,885,2646,1406
100,2365_2cubes_sphere.mtx,101492,101492,1647264,11376530,41745255,27450606
101,1045_g7jac010.mtx,2880,2880,19635,24641,78270,135306
102,2369_ns3Da.mtx,20414,20414,1679599,230633065,407227824,177530721
103,1465_fe_4elt2.mtx,11143,11143,65636,56509,172349,395450
104,1910_waveguide3D.mtx,21036,21036,303468,7218025,8712975,4633642
105,0312_oscil_dcop_02.mtx,430,430,1544,1383,4785,6450
106,0690_orsirr_2.mtx,886,886,5970,2716,16428,41944
107,2512_oilpan.mtx,73752,73752,3597188,328424,5482200,188872264
108,2803_audikw_1.mtx,943695,943695,77651847,80998761,724655506,8089734897
109,1295_G28.mtx,2000,2000,39980,1253883,2805635,838178
110,0884_adder_dcop_39.mtx,1813,1813,11246,64442,208557,1848518
111,2651_crankseg_1.mtx,52804,52804,10614210,12608289,140377799,2548688036
112,1102_ex22.mtx,839,839,22715,1883,41052,769343
113,1155_lowThrust_2.mtx,2312,2312,26261,34437,211103,1907193
114,2693_hugetric-00000.mtx,5824554,5824554,17467046,20130738,46664336,52387906
115,2057_c-66.mtx,49989,49989,499007,1246397,6481236,71702335
116,1426_rdist2.mtx,3198,3198,56934,8008,77893,1016709
117,1841_ex35.mtx,19716,19716,228208,52471,754979,3037012
118,1277_G5.mtx,800,800,38352,125000,3133136,1873950
119,0767_bcsstk06.mtx,420,420,7860,1019,12219,164652
120,1103_sstmodel.mtx,3345,3345,22749,18214,127005,207269
121,0444_Erdos981.mtx,485,485,2762,19859,60331,38294
122,2771_RM07R.mtx,381689,381689,37464962,37202423,319465507,5272142064
123,2486_rgg_n_2_18_s0.mtx,262144,262144,3094566,43536044,121953095,39648378
124,1749_mark3jac060sc.mtx,27449,27449,170695,488209,1434773,1169682
125,0875_adder_dcop_60.mtx,1813,1813,11246,64442,208557,1848518
126,0609_cage.mtx,366,366,5124,3440,58117,71736
127,2051_rajat18.mtx,94294,94294,485143,8517437,106877554,881220051
128,1784_skirt(0).mtx,12598,12598,196520,155432,785452,3567118
129,0177_nos4.mtx,100,100,594,53,981,3738
130,1630_vsp_p0291_seymourl_iiasa.mtx,10498,10498,107736,1972971,3938244,3860358
131,0373_rw496.mtx,496,496,1859,587,4828,7135
132,1022_reorientation_2.mtx,1544,1544,17910,25661,202409,2315330
133,1828_s1rmt3m1.mtx,5489,5489,219521,17994,340291,8926841
134,2217_c-71.mtx,76638,76638,859554,4447124,11505450,75149732
135,0384_mesh2em5.mtx,306,306,2018,970,4155,13740
136,0720_bcsstk19.mtx,817,817,6853,1230,6843,61829
137,0814_G21.mtx,800,800,9334,73885,362703,219972
138,0512_bcsstk04.mtx,132,132,3648,209,5587,116072
139,0816_G16.mtx,800,800,9344,74300,361448,216266
140,2372_gas_sensor.mtx,66917,66917,1703365,2044435,10751918,44185387
141,0437_fs_680_1.mtx,680,680,2646,1230,3566,14539
142,2145_ex3sta1(0).mtx,16782,16782,678998,1541721,5650810,37299638
143,1935_pwt(1).mtx,36519,36519,326107,159211,1040776,2934955
144,0096_cage5.mtx,37,37,233,27,410,1597
145,1512_ex13.mtx,2568,2568,75628,11471,149884,2559282
146,1822_ak2010.mtx,45292,45292,217098,2522990,3692655,2537892
147,1684_ACTIVSg10K.mtx,20000,20000,137736,429928,971328,1122640
148,1224_gemat12.mtx,4929,4929,33111,49601,111627,224074
149,1842_spmsrtls.mtx,29995,29995,229947,13119,67481,1769517
150,1116_airfoil1_dual.mtx,8034,8034,23626,39088,151859,69926
151,0671_fpga_dcop_12.mtx,1220,1220,5892,4802,22651,46772
152,1668_memplus.mtx,17758,17758,126150,216344,1925874,9518740
153,0155_GD00_a.mtx,352,352,458,145,469,423
154,2081_e40r0100.mtx,17281,17281,553562,286365,2752571,16712581
155,1984_lhr17.mtx,17576,17576,381975,65353,899852,8322403
156,2634_TSOPF_RS_b678_c2.mtx,35696,35696,8781949,568721,6955568,69226453
157,0340_oscil_dcop_39.mtx,430,430,1544,1383,4785,6450
158,2675_rgg_n_2_20_s0.mtx,1048576,1048576,13783240,383443820,639496816,194980566
159,1409_TSOPF_RS_b9_c6.mtx,7224,7224,54082,7928,52158,313213
160,2498_pkustk08.mtx,22209,22209,3226671,7036265,49927421,552893121
161,2130_nemeth17.mtx,9506,9506,629620,29449,1243141,42022124
162,2201_fe_ocean.mtx,143437,143437,819186,740311,3425259,4742538
163,1419_c-33.mtx,6317,6317,56123,56877,662482,8094085
164,1158_3elt_dual.mtx,9000,9000,26556,45231,168458,78780
165,2746_ML_Laplace.mtx,377002,377002,27689972,5892441,73325777,2038451848
166,2739_asia_osm.mtx,11950757,11950757,25423206,15118980,46670043,56892718
167,0898_adder_dcop_25.mtx,1813,1813,11246,64442,208557,1848518
168,1517_cavity11.mtx,2597,2597,76367,15197,216649,2849767
169,0427_M20PI_n1.mtx,1028,1028,2547,857,2872,6665
170,0170_dwt_87.mtx,87,87,541,188,1512,3831
171,2446_vanbody.mtx,47072,47072,2336898,657660,5852890,130670744
172,2374_Zd_Jac6.mtx,22835,22835,1711983,1122750,13333870,127165904
173,0306_oscil_dcop_20.mtx,430,430,1544,1383,4785,6450
174,1303_G67.mtx,10000,10000,40000,20375,62400,160000
175,2117_3D_28984_Tetra.mtx,28984,28984,599170,773376,2723915,14855296
176,0688_fpga_dcop_23.mtx,1220,1220,5892,4802,22651,46772
177,2084_Trefethen_20000.mtx,20000,20000,554466,488024,2820906,15399194
178,2574_pkustk11.mtx,87804,87804,5217912,2541968,14527029,365102640
179,2652_bmwcra_1.mtx,148770,148770,10644002,6231435,50925965,812503802
180,0088_n3c6-b1.mtx,105,105,210,7,178,420
181,0915_adder_dcop_40.mtx,1813,1813,11246,64442,208557,1848518
182,0205_grid1_dual.mtx,224,224,840,567,2578,3196
183,0788_goddardRocketProblem_1.mtx,831,831,8498,4468,27674,372646
184,2279_vsp_finan512_scagr7-2c_rlfddd.mtx,139752,139752,1104040,11097530,20138463,40888246
185,0885_adder_dcop_42.mtx,1813,1813,11246,64442,208557,1848518
186,1788_torsion1.mtx,40000,40000,197608,75514,244336,983272
187,0025_Tina_DisCal.mtx,11,11,41,1,21,140
188,0623_rajat19.mtx,1157,1157,5399,7012,37853,172261
189,0756_jagmesh8.mtx,1141,1141,7465,2726,17310,49655
190,2609_nd6k.mtx,18000,18000,6897316,3470881,80547096,2786075040
191,2514_Dubcova3.mtx,146689,146689,3636649,5040085,32024191,105370225
192,2061_t3dl_a.mtx,20360,20360,509866,564975,5667392,13082922
193,1074_swang2.mtx,3169,3169,20841,43705,147537,139671
194,0379_west0479.mtx,479,479,1910,917,4594,7587
195,2704_af_shell1.mtx,504855,504855,17588875,1668176,22688918,613607875
196,0766_bcsstk07.mtx,420,420,7860,1019,12219,164652
197,1773_wiki-RfA.mtx,11380,11380,188077,14614779,18822996,11043651
198,0042_rgg010.mtx,10,10,76,1,27,544
199,0175_impcol_a.mtx,207,207,572,144,944,1593
200,2735_germany_osm.mtx,11548845,11548845,24738362,18962453,51096028,56221624
201,2102_ASIC_100ks.mtx,99190,99190,578890,1363010,3795812,7146666
202,1618_shuttle_eddy(0).mtx,10429,10429,103599,46038,192936,1083153
203,2141_wv2010.mtx,135218,135218,662922,7845599,10638335,5120432
204,2758_mycielskian16.mtx,49151,49151,33382480,561884697,12704365109,79948142970
205,0321_oscil_dcop_06.mtx,430,430,1544,1383,4785,6450
206,2584_para-5.mtx,155924,155924,5416358,42924446,129868169,265536544
207,1687_cavity16.mtx,4562,4562,138187,26811,379597,5266377
208,0566_bp_800.mtx,822,822,4534,12732,30411,23376
209,1325_ex23.mtx,1409,1409,43703,7035,71617,1663489
210,0985_Erdos982.mtx,5822,5822,14750,404929,545607,243332
211,0447_lnsp_511.mtx,511,511,2796,1086,8803,19452
212,0846_email.mtx,1133,1133,10902,75143,242159,203732
213,0840_lshp1561.mtx,1561,1561,10681,4362,22907,73547
214,1927_crystm02.mtx,13965,13965,322905,254605,2303250,7807695
215,0413_dwt_310.mtx,310,310,2448,164,2684,20004
216,0485_G12.mtx,800,800,3200,450,5000,12800
217,0695_dwt_758.mtx,758,758,5994,1170,7412,49096
218,2583_para-10.mtx,155924,155924,5416358,42924446,129868169,265536544
219,2363_Zd_Jac2.mtx,22835,22835,1642833,1146733,13466369,115354945
220,0498_dwg961a.mtx,961,961,3405,1175,4855,16665
221,0823_rajat04.mtx,1041,1041,9642,14301,131352,867770
222,2748_Fault_639.mtx,638802,638802,28614564,17430372,117646235,1298780298
223,1192_c-28.mtx,4598,4598,30590,38248,120230,576608
224,1565_p2p-Gnutella30.mtx,36682,36682,88328,234329,266593,330554
225,1347_g7jac020.mtx,5850,5850,45465,101036,264916,389636
226,1381_ex6.mtx,1651,1651,49533,8286,83185,1845685
227,0011_cage3.mtx,5,5,19,1,8,75
228,2765_hugetrace-00010.mtx,12057441,12057441,36164358,53002971,100214613,108477144
229,1482_dtoc.mtx,24993,24993,69972,11254,37492,219898
230,2643_m_t1.mtx,97578,97578,9753570,2610457,39082081,1054513134
231,2323_li.mtx,22695,22695,1350309,758719,9563752,99698581
232,2355_delaunay_n18.mtx,262144,262144,1572792,1632934,6280141,9907810
233,1690_cavity25.mtx,4562,4562,138187,26811,379597,5266377
234,2026_FEM_3D_thermal1.mtx,17880,17880,430740,96272,1369306,10708740
235,0275_dwt_245.mtx,245,245,1461,500,3030,10363
236,0661_fpga_dcop_34.mtx,1220,1220,5892,4802,22651,46772
237,0808_goddardRocketProblem_2.mtx,867,867,9058,6206,39893,403752
238,1551_biplane-9.mtx,21701,21701,84076,51305,228447,328336
239,2128_c-69.mtx,67458,67458,623970,1813075,5780245,38268332
240,2418_analytics.mtx,303813,303813,2006126,68037152,870540210,5259209524
241,2288_viscorocks.mtx,37762,37762,1162244,193177,1414269,38031528
242,2595_Ga10As10H30.mtx,113081,113081,6115633,23691844,115160889,1098110645
243,1360_rajat06.mtx,10922,10922,46983,71817,194248,215765
244,0897_adder_dcop_26.mtx,1813,1813,11246,64442,208557,1848518
245,1577_fxm3_6(0).mtx,5026,5026,94026,94189,450157,2789056
246,0895_adder_dcop_21.mtx,1813,1813,11246,64442,208557,1848518
247,1912_Na5.mtx,5832,5832,305630,739753,4465468,36493194
248,1397_ca-HepTh.mtx,9877,9877,51971,1058113,1134144,651469
249,1131_bcsstm34.mtx,588,588,24270,2893,47049,1071160
250,1227_reorientation_4.mtx,2717,2717,33630,57458,549805,6958400
251,2112_LeGresley_87936.mtx,87936,87936,593276,1842422,4864607,4895605
252,2822_Bump_2911.mtx,2911419,2911419,127729899,52783208,409048531,5745156927
253,0219_grid1.mtx,252,252,952,260,1700,3644
254,0809_jagmesh9.mtx,1349,1349,9101,3393,19288,62007
255,2732_Transport.mtx,1602111,1602111,23500731,18230154,86497142,346715709
256,1049_spaceStation_12.mtx,1410,1410,19728,21782,102328,369096
257,1490_nopoly.mtx,10774,10774,70842,144936,337652,478826
258,0795_lshp1270.mtx,1270,1270,8668,3790,19500,59576
259,1946_ckt11752_dc_1.mtx,49702,49702,333029,417998,2728053,26238936
260,1561_cs4.mtx,22499,22499,87716,393528,445871,344026
261,2221_HTC_336_9129.mtx,226340,226340,883422,2008723,28014411,233545684
262,2811_cage15.mtx,5154859,5154859,99199551,376196297,1152205037,2078631615
263,1732_lhr07c.mtx,7337,7337,156508,26202,367349,3427543
264,2463_pkustk06.mtx,43164,43164,2571768,1281742,7302409,179924544
265,0596_bp_1600.mtx,822,822,4841,17619,41216,26735
266,2636_atmosmodd.mtx,1270432,1270432,8814880,5041720,15143380,61238128
267,1151_cz2548.mtx,2548,2548,25674,10224,71198,201305
268,1799_g7jac060sc.mtx,17730,17730,203316,1463038,3123529,3827140
269,1095_lock_700.mtx,700,700,22175,3240,30629,810211
270,2801_bone010.mtx,986703,986703,71666325,22959053,240245598,5451922539
271,0246_odepa400.mtx,400,400,1201,171,894,3604
272,2731_Freescale2.mtx,2999349,2999349,23042677,416307264,1294089766,4356108266
273,0867_adder_dcop_53.mtx,1813,1813,11246,64442,208557,1848518
274,0095_GD02_b.mtx,80,80,232,68,389,547
275,1298_G26.mtx,2000,2000,39980,1251627,2780490,840822
276,2527_roadNet-TX.mtx,1393383,1393383,3843320,5871467,15960938,12099370
277,0528_tumorAntiAngiogenesis_3.mtx,410,410,3952,1946,17340,205032
278,0739_cavity03.mtx,317,317,7327,1374,18344,225447
279,0224_gre_185.mtx,185,185,1005,391,2692,5609
280,2813_delaunay_n24.mtx,16777216,16777216,100663202,105246161,403381630,633914372
281,0231_pde225.mtx,225,225,1065,125,2509,5093
282,2632_thermal2.mtx,1228045,1228045,8580313,21746897,48174318,60758901
283,2612_cage13.mtx,445315,445315,7479343,23945333,85753443,137332191
284,1135_airfoil1.mtx,4253,4253,24578,42024,257006,144160
285,2586_roadNet-CA.mtx,1971281,1971281,5533214,7846711,21548015,17523394
286,2060_soc-Epinions1.mtx,75888,75888,508837,27001607,58505151,39924100
287,1164_zenios.mtx,2873,2873,27191,31816,355999,596993
288,0345_bcspwr04.mtx,274,274,1612,4704,19649,12466
289,0792_nnc1374.mtx,1374,1374,8606,4625,16818,60398
290,0328_oscil_dcop_49.mtx,430,430,1544,1383,4785,6450
291,0635_plat362.mtx,362,362,5786,1479,21235,96508
292,2411_conf5_4-8x8-10.mtx,49152,49152,1916928,730112,5259264,74760192
293,2222_sc2010.mtx,181908,181908,893160,8795529,11640954,6062270
294,2229_soc-Slashdot0811.mtx,77360,77360,905468,90523820,132094157,111839175
295,0902_adder_dcop_24.mtx,1813,1813,11246,64442,208557,1848518
296,0685_fpga_dcop_18.mtx,1220,1220,5892,4802,22651,46772
297,0317_oscil_dcop_03.mtx,430,430,1544,1383,4785,6450
298,0550_b_dyn.mtx,1089,1089,4264,1988,11714,16151
299,2497_Goodwin_095.mtx,100037,100037,3226066,710702,13862634,128790421
300,1868_Dubcova1.mtx,16129,16129,253009,578711,2780603,4507129
301,2343_mosfet2.mtx,46994,46994,1499460,46809062,141160405,54284900
302,1297_G25.mtx,2000,2000,39980,1253382,2780144,839786
303,1275_G6.mtx,800,800,38352,125000,3119855,1870514
304,2209_g7jac200sc.mtx,59310,59310,837936,9612127,20925378,25491407
305,0921_adder_dcop_49.mtx,1813,1813,11246,64442,208557,1848518
306,0077_karate.mtx,34,34,156,27,267,1212
307,1493_EX3(0).mtx,2600,2600,71760,184571,1302484,1987440
308,2053_lung2.mtx,109460,109460,492564,115878,397635,2102472
309,2074_apache1.mtx,80800,80800,542184,388776,1460356,3656464
310,1533_kineticBatchReactor_5.mtx,7641,7641,80767,145834,1536644,20572761
311,0365_tols90.mtx,90,90,1746,103,1550,38016
312,0215_spaceStation_1.mtx,99,99,927,156,2841,11283
313,1898_raefsky1.mtx,3242,3242,294276,102547,1327527,28167464
314,1831_lowThrust_9.mtx,18044,18044,219589,376383,7118242,101126303
315,1369_xingo_afonso_itaipu.mtx,13250,13250,48735,32904,62881,275962
316,2783_delaunay_n23.mtx,8388608,8388608,50331568,52602679,207014840,316961668
317,1542_lhr04.mtx,4101,4101,82682,13943,195977,1847090
318,2591_com-Youtube.mtx,1134890,1134890,5975248,791622416,1592184906,2954940368
319,0797_EX1(0).mtx,560,560,8736,11341,86392,137664
320,1733_lhr07.mtx,7337,7337,156508,26202,367349,3427543
321,1317_Trefethen_2000.mtx,2000,2000,41906,21245,144718,882010
322,1786_bfly.mtx,49152,49152,196608,251904,628736,786432
323,1208_c-21.mtx,3509,3509,32157,29348,173640,931869
324,0404_celegansneural.mtx,297,297,2345,3382,24415,24597
325,2482_srb1.mtx,54924,54924,2962152,309615,4068439,161074224
326,0429_rdb450.mtx,450,450,2580,671,4957,14896
327,1775_Ill_Stokes.mtx,20896,20896,191368,3177337,3585257,1804171
328,2752_rgg_n_2_21_s0.mtx,2097152,2097152,28975990,973243312,1387917659,429575072
329,1543_lhr04c.mtx,4101,4101,82682,13943,195977,1847090
330,0308_oscil_dcop_45.mtx,430,430,1544,1383,4785,6450
331,2515_parabolic_fem.mtx,525825,525825,3674625,5752983,21967879,25691647
332,0052_Hamrle1.mtx,32,32,98,8,95,294
333,0617_lshp_778.mtx,778,778,5272,2223,11917,36044
334,2476_ins2.mtx,309412,309412,2751484,374841425,12773486349,107860541938
335,1438_G58.mtx,5000,5000,59140,2207042,4596346,1942120
336,2786_hugebubbles-00000.mtx,18318143,18318143,54940162,67502114,145266051,164791952
337,2065_soc-sign-Slashdot081106.mtx,77357,77357,516575,25661547,35477445,21584062
338,2268_case39.mtx,40216,40216,1042160,2082889,82257396,4048569774
339,0923_ex32.mtx,1159,1159,11343,2819,28740,118181
340,2290_struct3.mtx,53570,53570,1173694,207821,2520263,26704476
341,1713_ccc.mtx,49152,49152,147456,27648,110592,442368
342,2341_net75.mtx,23120,23120,1489200,10159213,42901152,150141280
343,1770_Goodwin_023.mtx,6005,6005,182168,38271,776293,6986888
344,0750_dwt_918.mtx,918,918,7384,2452,15072,62460
345,0913_adder_dcop_14.mtx,1813,1813,11246,64442,208557,1848518
346,0305_oscil_dcop_42.mtx,430,430,1544,1383,4785,6450
347,1356_bcsstm39.mtx,46772,46772,46772,2924,11693,46772
348,2307_amazon0302.mtx,262111,262111,1234877,3654303,4790560,6021131
349,2224_tube2.mtx,21498,21498,897056,86278,1344615,38022972
350,1358_meg4.mtx,5860,5860,46842,92767,570884,2499286
351,0655_fpga_dcop_47.mtx,1220,1220,5892,4802,22651,46772
352,1980_ecl32.mtx,51993,51993,380415,659567,2215464,3336991
353,2101_ncvxqp7.mtx,87500,87500,574962,2007023,7400764,5176506
354,0479_utm300.mtx,300,300,3155,813,7148,37601
355,1703_shock-9.mtx,36476,36476,142580,92602,392053,560824
356,2547_t3dh_a.mtx,79171,79171,4352105,11195153,73446119,255940359
357,2144_cbuckle.mtx,13681,13681,676515,79246,937171,34292821
358,0467_dwt_361.mtx,361,361,2953,231,4027,24807
359,2819_rgg_n_2_23_s0.mtx,8388608,8388608,127002786,4896490830,5831958753,2050055514
360,2312_c-73b.mtx,169422,169422,1279274,21677027,328273718,3897967980
361,1891_mark3jac100sc.mtx,45769,45769,285215,820124,2403808,1957922
362,0110_dwt_59.mtx,59,59,267,36,439,1263
363,0021_GD01_b.mtx,18,18,37,5,62,77
364,0003_mycielskian2.mtx,2,2,2,1,1,2
365,2560_apache2.mtx,715176,715176,4817870,3456433,12853984,32599768
366,2713_circuit5M_dc.mtx,3523317,3523317,19194193,14939804,50978531,112041788
367,0976_orsreg_1.mtx,2205,2205,14133,7888,54566,91495
368,2064_hcircuit.mtx,105676,105676,513072,881364,2705591,9069768
369,0123_dolphins.mtx,62,62,318,64,1831,2164
370,2342_web-NotreDame.mtx,325729,325729,1497134,979934,4800615,64593748
371,1976_bcircuit.mtx,68902,68902,375558,472631,1411998,2391204
372,1048_spaceStation_9.mtx,1180,1180,19674,19094,93258,423646
373,0917_adder_dcop_41.mtx,1813,1813,11246,64442,208557,1848518
374,0838_bcsstm38.mtx,8032,8032,10485,1414,6770,44177
375,2344_boyd2.mtx,466316,466316,1500397,69371015,1103927467,17720506035
376,0505_west0989.mtx,989,989,3537,1328,7091,13874
377,2589_pre2.mtx,659033,659033,5959282,15499394,115689914,417565877
378,0634_gre_1107.mtx,1107,1107,5664,3596,17751,29422
379,0730_bcsstm07.mtx,420,420,7252,1019,12219,140656
380,0911_adder_dcop_31.mtx,1813,1813,11246,64442,208557,1848518
381,0585_mycielskian8.mtx,191,191,4720,1031,27871,169290
382,2738_dielFilterV2clx.mtx,607232,607232,25309272,76165600,446527744,1241976752
383,0420_dw256B.mtx,512,512,2500,480,3052,12380
384,0849_adder_dcop_05.mtx,1813,1813,11097,63432,206525,1847009
385,2677_crankseg_2.mtx,63838,63838,14148858,18752764,203467612,3722717858
386,1402_ex3.mtx,1821,1821,52685,9496,130314,1763395
387,2590_Ga3As3H12.mtx,61349,61349,5970947,31551517,194559824,3677546507
388,2432_mario002.mtx,389874,389874,2101242,5499397,11698068,12829364
389,0553_fs_541_4.mtx,541,541,4285,3207,10809,31399
390,1772_ca-CondMat.mtx,23133,23133,186936,6414354,6954732,4127524
391,1228_bcsstk11.mtx,1473,1473,34241,4831,44529,862795
392,1982_viscoplastic2.mtx,32769,32769,381326,725763,6513369,10686943
393,2725_gsm_106857.mtx,589446,589446,21758924,467546587,1031782124,947250936
394,2404_Zd_Jac3.mtx,22835,22835,1916152,1232771,15655314,159016954
395,2549_TSOPF_RS_b678_c1.mtx,18696,18696,4396289,294936,3524581,34651853
396,2024_helm3d01.mtx,32226,32226,428444,2989295,6293799,6943742
397,0887_adder_dcop_29.mtx,1813,1813,11246,64442,208557,1848518
398,1810_s3rmt3m3.mtx,5357,5357,207695,18507,244232,8319359
399,0722_lshp1009.mtx,1009,1009,6865,3038,15881,47075
400,0526_ck656.mtx,656,656,3884,767,4050,28309
