index,mtx,m,n,nnz,mp16,mp4,mpnz
156,0373_rw496.mtx,496,496,1859,134,770,1859
157,1022_reorientation_2.mtx,1544,1544,17910,1369,4991,17910
158,0563_lp_ship04s.mtx,402,1506,4400,504,2176,4400
159,0384_mesh2em5.mtx,306,306,2018,158,557,2018
160,2217_c-71.mtx,76638,76638,859554,135026,268836,859554
161,1817_kl02.mtx,71,36699,212536,10753,64844,212536
162,1828_s1rmt3m1.mtx,5489,5489,219521,2586,21283,219521
163,1850_stat96v5.mtx,2307,75779,233921,6145,32350,233921
164,0609_cage.mtx,366,366,5124,290,2293,5124
165,1080_bcsstk34.mtx,588,588,21418,337,2529,21418
166,0816_G16.mtx,800,800,9344,2172,7336,9344
167,2803_audikw_1.mtx,943695,943695,77651847,2421731,12251224,77651847
168,0512_bcsstk04.mtx,132,132,3648,43,417,3648
169,2372_gas_sensor.mtx,66917,66917,1703365,104443,413788,1703365
170,0437_fs_680_1.mtx,680,680,2646,228,658,2646
171,0096_cage5.mtx,37,37,233,9,62,233
172,1935_pwt(1).mtx,36519,36519,326107,21081,96938,326107
173,2145_ex3sta1(0).mtx,16782,16782,678998,40115,131822,678998
174,1512_ex13.mtx,2568,2568,75628,1435,9234,75628
175,0773_G34.mtx,2000,2000,8000,825,2500,8000
176,0538_celegans_metabolic.mtx,453,453,4065,657,2135,4065
177,1390_model7.mtx,3358,9582,51027,5410,17426,51027
178,1684_ACTIVSg10K.mtx,20000,20000,137736,33100,68920,137736
179,1822_ak2010.mtx,45292,45292,217098,131944,189711,217098
180,1116_airfoil1_dual.mtx,8034,8034,23626,5786,18073,23626
181,1224_gemat12.mtx,4929,4929,33111,5538,12096,33111
182,2800_com-LiveJournal.mtx,3997962,3997962,69362378,39516070,51227323,69362378
183,0101_lpi_forest6.mtx,66,131,246,24,103,246
184,0155_GD00_a.mtx,352,352,458,93,266,458
185,1842_spmsrtls.mtx,29995,29995,229947,5623,22495,229947
186,1924_rlfprim.mtx,58866,62716,320591,23256,90573,320591
187,1984_lhr17.mtx,17576,17576,381975,9121,62979,381975
188,0340_oscil_dcop_39.mtx,430,430,1544,220,671,1544
189,2081_e40r0100.mtx,17281,17281,553562,20130,110313,553562
190,1289_cat_ears_3_4.mtx,5226,13271,39592,9246,26224,39592
191,0811_G19.mtx,800,800,9322,2182,7290,9322
192,2634_TSOPF_RS_b678_c2.mtx,35696,35696,8781949,49434,591976,8781949
193,0399_lp_nug06.mtx,372,486,2232,416,1284,2232
194,1668_memplus.mtx,17758,17758,126150,7842,31634,126150
195,2498_pkustk08.mtx,22209,22209,3226671,110263,501903,3226671
196,2369_ns3Da.mtx,20414,20414,1679599,744201,1321739,1679599
197,2130_nemeth17.mtx,9506,9506,629620,4215,54287,629620
198,1295_G28.mtx,2000,2000,39980,14429,37233,39980
199,0768_bibd_12_5.mtx,66,792,7920,218,1746,7920
200,0243_lp_share1b.mtx,117,253,1179,77,319,1179
201,2201_fe_ocean.mtx,143437,143437,819186,94315,351031,819186
202,0180_Sandi_sandi.mtx,314,360,613,183,356,613
203,0898_adder_dcop_25.mtx,1813,1813,11246,3748,6209,11246
204,0671_fpga_dcop_12.mtx,1220,1220,5892,706,2483,5892
205,0427_M20PI_n1.mtx,1028,1028,2547,281,846,2547
206,1517_cavity11.mtx,2597,2597,76367,1640,11139,76367
207,2735_germany_osm.mtx,11548845,11548845,24738362,5633219,12385132,24738362
208,2746_ML_Laplace.mtx,377002,377002,27689972,393711,2626951,27689972
209,0197_mk9-b1.mtx,378,36,756,48,283,756
210,1388_beacxc.mtx,497,506,50409,950,9774,50409
211,0184_GD01_a.mtx,311,311,645,181,505,645
212,2446_vanbody.mtx,47072,47072,2336898,52642,257348,2336898
213,0306_oscil_dcop_20.mtx,430,430,1544,220,671,1544
214,0688_fpga_dcop_23.mtx,1220,1220,5892,706,2483,5892
215,1155_lowThrust_2.mtx,2312,2312,26261,2113,7699,26261
216,0720_bcsstk19.mtx,817,817,6853,302,1169,6853
217,2374_Zd_Jac6.mtx,22835,22835,1711983,44097,280405,1711983
218,0147_n4c6-b1.mtx,210,21,420,20,131,420
219,1432_fxm3_6.mtx,6200,12625,57722,4120,20126,57722
220,2117_3D_28984_Tetra.mtx,28984,28984,599170,26876,97711,599170
221,2765_hugetrace-00010.mtx,12057441,12057441,36164358,14098409,21067031,36164358
222,1750_f855_mat9_I.mtx,2456,2511,171214,7483,45717,171214
223,2084_Trefethen_20000.mtx,20000,20000,554466,24656,118618,554466
224,1102_ex22.mtx,839,839,22715,309,2718,22715
225,0205_grid1_dual.mtx,224,224,840,103,384,840
226,0915_adder_dcop_40.mtx,1813,1813,11246,3748,6209,11246
227,2574_pkustk11.mtx,87804,87804,5217912,142352,527599,5217912
228,0788_goddardRocketProblem_1.mtx,831,831,8498,472,1776,8498
229,2652_bmwcra_1.mtx,148770,148770,10644002,276221,1357145,10644002
230,0885_adder_dcop_42.mtx,1813,1813,11246,3748,6209,11246
231,0158_lpi_ex72a.mtx,197,215,467,55,222,467
232,0025_Tina_DisCal.mtx,11,11,41,1,8,41
233,1333_lp_pilot.mtx,1441,4860,44375,2810,12559,44375
234,1788_torsion1.mtx,40000,40000,197608,17202,49304,197608
235,0623_rajat19.mtx,1157,1157,5399,690,2086,5399
236,0756_jagmesh8.mtx,1141,1141,7465,510,2182,7465
237,2279_vsp_finan512_scagr7-2c_rlfddd.mtx,139752,139752,1104040,348680,613857,1104040
238,0814_G21.mtx,800,800,9334,2171,7317,9334
239,0170_dwt_87.mtx,87,87,541,34,176,541
240,1158_3elt_dual.mtx,9000,9000,26556,6779,20262,26556
241,1074_swang2.mtx,3169,3169,20841,3517,10963,20841
242,2609_nd6k.mtx,18000,18000,6897316,63715,585464,6897316
243,2061_t3dl_a.mtx,20360,20360,509866,28127,164816,509866
244,0379_west0479.mtx,479,479,1910,189,745,1910
245,0462_lpi_pang.mtx,361,741,2933,265,951,2933
246,2813_delaunay_n24.mtx,16777216,16777216,100663202,13857637,41943340,100663202
247,0766_bcsstk07.mtx,420,420,7860,173,1089,7860
248,2514_Dubcova3.mtx,146689,146689,3636649,244543,1000997,3636649
249,1953_pds-30.mtx,49944,158489,340635,225960,311742,340635
250,2102_ASIC_100ks.mtx,99190,99190,578890,78926,211618,578890
251,1618_shuttle_eddy(0).mtx,10429,10429,103599,6356,21942,103599
252,2651_crankseg_1.mtx,52804,52804,10614210,221485,1275203,10614210
253,0321_oscil_dcop_06.mtx,430,430,1544,220,671,1544
254,0042_rgg010.mtx,10,10,76,1,9,76
255,0566_bp_800.mtx,822,822,4534,1095,2575,4534
256,2584_para-5.mtx,155924,155924,5416358,718814,2053357,5416358
257,2764_GL7d18.mtx,1955309,1548650,35590540,35420944,35577613,35590540
258,1687_cavity16.mtx,4562,4562,138187,2920,19551,138187
259,0846_email.mtx,1133,1133,10902,2573,7093,10902
260,1717_nug08-3rd.mtx,19728,29856,148416,35936,82906,148416
261,0413_dwt_310.mtx,310,310,2448,60,448,2448
262,2040_fome21.mtx,67748,216350,465294,306105,425795,465294
263,0485_G12.mtx,800,800,3200,150,1000,3200
264,1927_crystm02.mtx,13965,13965,322905,16603,88212,322905
265,0695_dwt_758.mtx,758,758,5994,254,1162,5994
266,0498_dwg961a.mtx,961,961,3405,295,971,3405
267,2363_Zd_Jac2.mtx,22835,22835,1642833,44122,276565,1642833
268,0823_rajat04.mtx,1041,1041,9642,801,3406,9642
269,2418_analytics.mtx,303813,303813,2006126,246586,796856,2006126
270,2811_cage15.mtx,5154859,5154859,99199551,12808573,35949799,99199551
271,1409_TSOPF_RS_b9_c6.mtx,7224,7224,54082,2173,9911,54082
272,1565_p2p-Gnutella30.mtx,36682,36682,88328,59666,66416,88328
273,1347_g7jac020.mtx,5850,5850,45465,7422,19486,45465
274,2629_bibd_20_10.mtx,190,184756,8314020,110232,1239566,8314020
275,1419_c-33.mtx,6317,6317,56123,3421,13450,56123
276,1482_dtoc.mtx,24993,24993,69972,4378,14998,69972
277,0088_n3c6-b1.mtx,105,105,210,7,66,210
278,2643_m_t1.mtx,97578,97578,9753570,135789,945275,9753570
279,2109_mri1.mtx,65536,147456,589824,74537,153684,589824
280,2355_delaunay_n18.mtx,262144,262144,1572792,214958,653431,1572792
281,0447_lnsp_511.mtx,511,511,2796,199,1024,2796
282,1481_mk11-b3.mtx,17325,6930,69300,9230,34318,69300
283,1690_cavity25.mtx,4562,4562,138187,2920,19551,138187
284,2026_FEM_3D_thermal1.mtx,17880,17880,430740,11340,77576,430740
285,2748_Fault_639.mtx,638802,638802,28614564,1013106,4390521,28614564
286,1636_south31.mtx,18425,36321,112398,8158,33583,112398
287,1970_bibd_16_8.mtx,120,12870,360360,5458,56297,360360
288,0661_fpga_dcop_34.mtx,1220,1220,5892,706,2483,5892
289,1604_lpi_gosh.mtx,3792,13455,99953,7031,22873,99953
290,0808_goddardRocketProblem_2.mtx,867,867,9058,568,2201,9058
291,0175_impcol_a.mtx,207,207,572,50,224,572
292,0716_cr42.mtx,905,1513,6614,226,1655,6614
293,2128_c-69.mtx,67458,67458,623970,82627,195547,623970
294,1551_biplane-9.mtx,21701,21701,84076,10029,35351,84076
295,2288_viscorocks.mtx,37762,37762,1162244,23689,115105,1162244
296,2595_Ga10As10H30.mtx,113081,113081,6115633,394944,1495721,6115633
297,2591_com-Youtube.mtx,1134890,1134890,5975248,3656972,4573426,5975248
298,0807_scagr7-2c.mtx,2447,3479,9005,736,3632,9005
299,1394_cq5.mtx,5048,11748,51571,10133,30647,51571
300,2198_mk13-b5.mtx,135135,270270,810810,175745,516172,810810
301,0897_adder_dcop_26.mtx,1813,1813,11246,3748,6209,11246
302,1577_fxm3_6(0).mtx,5026,5026,94026,4125,20837,94026
303,2141_wv2010.mtx,135218,135218,662922,424247,595519,662922
304,0895_adder_dcop_21.mtx,1813,1813,11246,3748,6209,11246
305,1360_rajat06.mtx,10922,10922,46983,9793,24066,46983
306,1131_bcsstm34.mtx,588,588,24270,337,2529,24270
307,1227_reorientation_4.mtx,2717,2717,33630,2352,9479,33630
308,1397_ca-HepTh.mtx,9877,9877,51971,46575,50790,51971
309,2112_LeGresley_87936.mtx,87936,87936,593276,131267,314487,593276
310,0419_lp_bandm.mtx,305,472,2494,270,909,2494
311,0219_grid1.mtx,252,252,952,72,324,952
312,1331_Franz5.mtx,7382,2882,44056,3587,13095,44056
313,0809_jagmesh9.mtx,1349,1349,9101,611,2538,9101
314,1194_pf2177.mtx,9728,10178,30984,7155,19375,30984
315,1303_G67.mtx,10000,10000,40000,4325,12500,40000
316,1049_spaceStation_12.mtx,1410,1410,19728,1384,5316,19728
317,2732_Transport.mtx,1602111,1602111,23500731,1471352,5885036,23500731
318,0011_cage3.mtx,5,5,19,1,4,19
319,1773_wiki-RfA.mtx,11380,11380,188077,140139,180675,188077
320,1561_cs4.mtx,22499,22499,87716,73128,80039,87716
321,2822_Bump_2911.mtx,2911419,2911419,127729899,3571786,17249347,127729899
322,1381_ex6.mtx,1651,1651,49533,928,5457,49533
323,2463_pkustk06.mtx,43164,43164,2571768,70614,261655,2571768
324,2704_af_shell1.mtx,504855,504855,17588875,252226,1687832,17588875
325,1732_lhr07c.mtx,7337,7337,156508,3725,25797,156508
326,2636_atmosmodd.mtx,1270432,1270432,8814880,705384,2190844,8814880
327,1378_lp_ken_11.mtx,14694,21349,49058,17786,31058,49058
328,1325_ex23.mtx,1409,1409,43703,797,4675,43703
329,0843_lp_czprob.mtx,929,3562,10708,898,5615,10708
330,1151_cz2548.mtx,2548,2548,25674,1406,6815,25674
331,0012_lpi_galenet.mtx,8,14,22,1,7,22
332,1946_ckt11752_dc_1.mtx,49702,49702,333029,40711,113204,333029
333,1799_g7jac060sc.mtx,17730,17730,203316,43561,102425,203316
334,1192_c-28.mtx,4598,4598,30590,3470,8982,30590
335,2323_li.mtx,22695,22695,1350309,34905,225014,1350309
336,1945_n4c6-b12.mtx,25605,69235,332865,37637,148263,332865
337,2801_bone010.mtx,986703,986703,71666325,1311527,7613476,71666325
338,0246_odepa400.mtx,400,400,1201,74,299,1201
339,0867_adder_dcop_53.mtx,1813,1813,11246,3748,6209,11246
340,2783_delaunay_n23.mtx,8388608,8388608,50331568,6873911,21208028,50331568
341,0275_dwt_245.mtx,245,245,1461,96,412,1461
342,2527_roadNet-TX.mtx,1393383,1393383,3843320,1141831,2482960,3843320
343,0739_cavity03.mtx,317,317,7327,167,1109,7327
344,2583_para-10.mtx,155924,155924,5416358,718814,2053357,5416358
345,0985_Erdos982.mtx,5822,5822,14750,10013,14141,14750
346,2632_thermal2.mtx,1228045,1228045,8580313,2162399,4268218,8580313
347,0231_pde225.mtx,225,225,1065,43,375,1065
348,2731_Freescale2.mtx,2999349,2999349,23042677,6357910,12081086,23042677
349,0840_lshp1561.mtx,1561,1561,10681,742,2939,10681
350,0927_Franz3.mtx,1280,2800,11520,809,3136,11520
351,0495_lp_scrs8.mtx,490,1275,3288,260,1038,3288
352,2612_cage13.mtx,445315,445315,7479343,933743,2897137,7479343
353,1135_airfoil1.mtx,4253,4253,24578,3812,16554,24578
354,2060_soc-Epinions1.mtx,75888,75888,508837,241610,391908,508837
355,2229_soc-Slashdot0811.mtx,77360,77360,905468,552990,724862,905468
356,1164_zenios.mtx,2873,2873,27191,2178,12371,27191
357,0095_GD02_b.mtx,80,80,232,20,88,232
358,0345_bcspwr04.mtx,274,274,1612,306,1099,1612
359,0792_nnc1374.mtx,1374,1374,8606,827,2408,8606
360,0328_oscil_dcop_49.mtx,430,430,1544,220,671,1544
361,0795_lshp1270.mtx,1270,1270,8668,630,2446,8668
362,1490_nopoly.mtx,10774,10774,70842,15314,32028,70842
363,1912_Na5.mtx,5832,5832,305630,16307,69752,305630
364,0902_adder_dcop_24.mtx,1813,1813,11246,3748,6209,11246
365,0685_fpga_dcop_18.mtx,1220,1220,5892,706,2483,5892
366,1681_bibd_15_7.mtx,105,6435,135135,2388,23737,135135
367,0635_plat362.mtx,362,362,5786,195,1377,5786
368,2343_mosfet2.mtx,46994,46994,1499460,382140,1197483,1499460
369,2221_HTC_336_9129.mtx,226340,226340,883422,83929,329001,883422
370,0224_gre_185.mtx,185,185,1005,69,352,1005
371,1298_G26.mtx,2000,2000,39980,14441,37062,39980
372,0317_oscil_dcop_03.mtx,430,430,1544,220,671,1544
373,0550_b_dyn.mtx,1089,1089,4264,421,1830,4264
374,2497_Goodwin_095.mtx,100037,100037,3226066,70364,572688,3226066
375,1275_G6.mtx,800,800,38352,2500,24949,38352
376,1297_G25.mtx,2000,2000,39980,14438,37070,39980
377,1868_Dubcova1.mtx,16129,16129,253009,29185,101687,253009
378,0189_lp_sc205.mtx,205,317,665,56,234,665
379,0077_karate.mtx,34,34,156,9,45,156
380,0596_bp_1600.mtx,822,822,4841,1261,2911,4841
381,0921_adder_dcop_49.mtx,1813,1813,11246,3748,6209,11246
382,1493_EX3(0).mtx,2600,2600,71760,5953,29024,71760
383,0163_lp_stocfor1.mtx,117,165,501,37,182,501
384,2209_g7jac200sc.mtx,59310,59310,837936,191938,440070,837936
385,2053_lung2.mtx,109460,109460,492564,31612,102773,492564
386,1533_kineticBatchReactor_5.mtx,7641,7641,80767,6888,24116,80767
387,2074_apache1.mtx,80800,80800,542184,52848,170796,542184
388,0365_tols90.mtx,90,90,1746,23,160,1746
389,0215_spaceStation_1.mtx,99,99,927,32,245,927
390,1898_raefsky1.mtx,3242,3242,294276,4987,32361,294276
391,1363_mk11-b4b.mtx,9450,17325,47250,9311,25046,47250
392,1831_lowThrust_9.mtx,18044,18044,219589,15313,64212,219589
393,1510_lp_pilot87.mtx,2030,6680,74949,4041,18808,74949
394,1369_xingo_afonso_itaipu.mtx,13250,13250,48735,6425,13747,48735
395,0591_lp_agg3.mtx,516,758,4756,348,1702,4756
396,0797_EX1(0).mtx,560,560,8736,675,3442,8736
397,1733_lhr07.mtx,7337,7337,156508,3725,25797,156508
398,1317_Trefethen_2000.mtx,2000,2000,41906,1621,8478,41906
399,1542_lhr04.mtx,4101,4101,82682,2037,13765,82682
400,1786_bfly.mtx,49152,49152,196608,47104,98304,196608
401,1208_c-21.mtx,3509,3509,32157,2400,9204,32157
402,1243_lp_dfl001.mtx,6071,12230,35632,32354,35011,35632
403,0429_rdb450.mtx,450,450,2580,139,743,2580
404,0142_gams10am.mtx,114,171,407,29,106,407
405,0308_oscil_dcop_45.mtx,430,430,1544,220,671,1544
406,1775_Ill_Stokes.mtx,20896,20896,191368,149901,174740,191368
407,1543_lhr04c.mtx,4101,4101,82682,2037,13765,82682
408,2482_srb1.mtx,54924,54924,2962152,36271,234487,2962152
409,0052_Hamrle1.mtx,32,32,98,4,28,98
410,0617_lshp_778.mtx,778,778,5272,379,1501,5272
411,2515_parabolic_fem.mtx,525825,525825,3674625,542993,1745667,3674625
412,0528_tumorAntiAngiogenesis_3.mtx,410,410,3952,208,898,3952
413,2752_rgg_n_2_21_s0.mtx,2097152,2097152,28975990,16615312,27914291,28975990
414,1908_FX_March2010.mtx,1319,9498,301899,23818,122121,301899
415,2462_ch7-9-b5.mtx,423360,317520,2540160,355971,1209206,2540160
416,2268_case39.mtx,40216,40216,1042160,16803,122272,1042160
417,0923_ex32.mtx,1159,1159,11343,481,2866,11343
418,1095_lock_700.mtx,700,700,22175,390,2179,22175
419,2290_struct3.mtx,53570,53570,1173694,29871,182627,1173694
